type,year,country,series,value,id,image,feature,volume
CC,2018,Malta,CC-2018,2.0,CC2018MLT-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_malta.jpg,Unesco World Heritage Site — Temples of Mnajdra,320 000 coins
CC,2018,Finland,CC-2018,2.0,CC2018FIN-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_finland_finsauna.jpg,Finnish sauna culture,1 million coins
CC,2018,Finland,CC-2018,2.0,CC2018FIN-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_finland_landscape.jpg,Finnish national landscape Koli,1 million coins
CC,2018,Belgium,CC-2018,2.0,CC2018BEL-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_belgium_esro2bsat.jpg,The 50th anniversary of the ESRO 2B satellite,260 000 coins
CC,2018,Belgium,CC-2018,2.0,CC2018BEL-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_belgium.jpg,The 50th anniversary of May 1968 events in Belgium,260 000 coins
CC,2018,Vatican City,CC-2018,2.0,CC2018VAT-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_vatican_padrepio.jpg,50th Anniversary of the death of Padre Pio,101 000 coins
CC,2018,Vatican City,CC-2018,2.0,CC2018VAT-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_vatican.jpg,European Year of Cultural Heritage — The Laocoön group,101 000 coins
CC,2018,Greece,CC-2018,2.0,CC2018GRC-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_greece_kostispalamas.jpg,Kostis Palamas – 75 years in memoriam,750 000 coins
CC,2018,Greece,CC-2018,2.0,CC2018GRC-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_greece_dodecanese.jpg,70 years since the union of the Dodecanese,750 000 coins
CC,2018,Latvia,CC-2018,2.0,CC2018LVA-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_latvia_zemgale.jpg,Zemgale,512 000 coins
CC,2018,Latvia,CC-2018,2.0,CC2018LVA-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_latvia_joint.jpg,"Estonia, Latvia and Lithuania jointly issued a commemorative euro coin with a common design in 2018, celebrating the establishment of the States of Estonia and Latvia and the re-establishment of the State of Lithuania",512 000 coins
CC,2018,Luxembourg,CC-2018,2.0,CC2018LUX-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_luxembourg_175thanniv_duke.jpg,The 175th anniversary of the death of the Grand Duke Guillaume Ist,500 000 coins
CC,2018,Luxembourg,CC-2018,2.0,CC2018LUX-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_Luxembourg_150years.jpg,The 150th anniversary of the Luxembourg Constitution,500 000 coins
CC,2018,San Marino,CC-2018,2.0,CC2018SMR-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_sanmarino_bernini.jpg,420th anniversary of the birth of Gian Lorenzo Bernini,60 500 coins
CC,2018,San Marino,CC-2018,2.0,CC2018SMR-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_sanmarino_anniversery.jpg,500th anniversary of the birth of Tintoretto,60 500 coins
CC,2018,Portugal,CC-2018,2.0,CC2018PRT-A-CC2-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_portugal_botangarden.jpg,250 years of the Ajuda Botanical Garden (‘Jardim Botânico da Ajuda’),520 000 coins
CC,2018,Portugal,CC-2018,2.0,CC2018PRT-A-CC1-200,https://www.ecb.europa.eu/euro/coins/comm/html/comm_2018/comm_2018_portugal_offprintworks.jpg,250 years of the Official Printing Works (‘Imprensa Nacional’),520 000 coins
